S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
1705,D (Fourth Level),Health and medical including nursing and chemist,Medical And Health  Techinician Nurses  And Others ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Assists in solving social and emotional problems of individuals in relation to illness, discusses with physicians their understanding of patients. Visits homes to assist in preparing proper environments for patients. Attempts to eliminate fears, prejudice and other attitudes that all obstacles to acceptance of medical care and continuation of treatment. ","The work is performed inside as well as outside, the work place is a communication skills with  aids & device. The person should be able to perform assigned task efficiently. The  incumbent should be considered with aids and appliances The worker usually works in a group.well-lighted rooms. Mobility of the person should be adequate. Should have functional",TRUE
1706,D (Fourth Level),Health and medical including nursing and chemist,Vaccinator ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"vaccinates human body with vaccine  lymph for immunization against smallpox. Visits area under his jurisdiction periodically or on call and  instructs persons to get themselves revaccinated at regular intervals and get primary vaccination of their children done within six months of birth. Sterilizes lancet,  needle etc. Cleans part of body to be vaccinated with soap and hot water if necessary and disinfects it with spirit. Smears vaccine on cleaned part of body, pricks it with lancet or needle and allows vaccine to mix with blood. Watches for immediate reaction if any and takes necessary precautionary measures. Advises 
on general precautions to be taken and for reactions that may follow. Advises persons 
suffering from small-pox for taking precautionary and preventive measures. ","The work is performed inside as well as outside, the work place is a 
well-lighted rooms. The incumbent should be considered with aids and appliances The 
worker usually works in a group.",TRUE
1707,D (Fourth Level),Health and medical including nursing and chemist, Inoculator ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Inoculator injects prescribed dose of serum or vaccine into human body for immunity against specific diseases, such as cholera, typhoid, plague, diphtheria, whooping cough, rabies etc., in human beings, Sterilizes syringes, needles etc. 
Cleans parts of body to be inoculated with spirit, fills prescribed quantity of vaccine or serum in syringe and injects it in body. Rubs injected part of body with cotton wool-piece soaked in spirit. Watches immediate reactions if any or for reactions that may follow and takes precautionary measures. ","The work is performed inside as well as outside, the work is performed in welllighted rooms. The incumbent should be considered with aids and appliances The worker usually works in a group. ",TRUE
1708,D (Fourth Level),Health and medical including nursing and chemist,"Nurse, General","Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),,"One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),"Gives bedside care in cases of illness, assists Physician in examination and operation of 
patient and performs other nursing tasks. Maintains record of patient’s treatment, 
temperature, respiration, pulse rate, nourishment, progress, etc. Administers medicines and 
injections, as prescribed; dresses wounds and renders first aid.","The work is performed inside as well as outside, the work place is a well- lighted rooms. The 
incumbent should be considered with aids and appliances The worker works alone and also. ",TRUE
1709,D (Fourth Level),Health and medical including nursing and chemist,Lady Health Visitor ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Renders health care at private residences and at health centres. Visits private residences in her jurisdiction to render antenatal care and advice to expectant mothers. Makes arrangements for their confinement and renders post-natal care. Renders health care  to mothers, children and expectant mothers in health centres by performing variety of duties, like administering stock medicines, weighing babies, distributing milk and tonics, ensuring vaccination and inoculation,etc. ","The work is performed inside as well as outside, the work place is a 
well- lighted rooms. The incumbent should be considered with aids and 
appliances The worker works alone and also in groups. ",TRUE
1710,D (Fourth Level),Health and medical including nursing and chemist,X-Ray Technician ,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Radiographer; Radiological Assistant takes X
ray skiagraphs (Photographs) for diagnosis of 
ailments or gives ray treatment by operating X
ray equipment and exposing patient to rays. 
Prepares or gets patient prepared by Nurse for 
ray exposure. Regulates duration and intensity of 
exposure by adjusting machine and exposes 
patient to rays as directed by Radiologist.","The work is performed inside as well as outside, the work place is a well- lighted rooms. The person should have functional communication skills with aids &devices. The incumbent should be considered with aids and appliances. The worker works alone and also in groups. ",TRUE
1711,D (Fourth Level),Health and medical including nursing and chemist,"Optician, General ","Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Optician, dispensing fabricates lenses to 
prescription specifications, fits lenses in frames, 
assists customer in choice of frames and fits 
frames to customer. Reads prescription for frame 
and lens specifications. Assists customer in 
choosing frames by advising correct size and 
shape according to facial features. Measures 
customer for bridge length and pupillary distance 
using ruler, and prepares work order slip.","The work is 
performed inside 
as well as outside, 
the work place is a 
well- lighted 
rooms. The 
incumbent should 
be considered with 
aids and 
appliancesThe 
worker works 
",TRUE
1712,D (Fourth Level),Health and medical including nursing and chemist,"Optician, Contact  Lens ","Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Examines customer’s eyes and fits contact lenses to prescription specifications. Measures height and width of eyes and diameter of cornea using millimeter rule. Examines eyelid surface for presence of irregularities. Determines base curve of cornea, using Keratometer. Converts optical prescription into terms applicable to contact lenses.","The work is performed inside as well as outside, the work place is a well- lighted rooms. The incumbent should be considered with aids and appliances The worker works alone. ",TRUE
1713,D (Fourth Level),Health and medical including nursing and chemist, Physiotherapist,"Sitting (S), Standing (ST), Walking (W), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), One Arm One Leg (OAL), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Physiotherapist treats patients suffering from metabolic diseases, body injuries, stiffness, 
paralysis, neuritus, etc. by massage, exercise and use of heat, light, water, electricity and special therapy machines and techniques. Assists and instructs patients on performance of corrective, reducing and other physical exercises.","The work is performed inside as well as outside, the work place is a 
well-lighted rooms. The incumbent should be considered with aids and appliances. Should have functional communication skills with aids & devices. Should be able to perform 
assigned task efficiently. The worker works alone as well as in groups, mobility 
of the person should be adequate and also. 
",TRUE
1714,D (Fourth Level),Health and medical including nursing and chemist,Senior   Physiotherapist ,"Sitting (S), Standing (ST), Walking (W), Bending (BN), Reading & Writing (RW), Seeing (SE), Hearing (H), Communication (C)","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Legs (BL), One Arm One Leg (OAL), Dwarfism (Dw), Acid Attack Victims (AAV)","Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and D),"Physiotherapist treats patients suffering from metabolic diseases, body injuries, stiffness, 
paralysis, neuritus, etc. by massage, exercise and use of heat, light, water, electricity and special therapy machines and techniques. Assists and instructs patients on performance of corrective, reducing and other physical exercises.","The work is mostly performed inside in well lighted rooms. The worker usually 
does his work alone. It does not involve any hazard.  Appropriate computer software & aids and appliance to be used as per needs. ",TRUE
